,items,win,count,pickRate,winRate
107,2003,3941,8807,0.196,44.748
108,4642,2449,6501,0.144,37.671
109,1056,18252,38380,0.853,47.556
110,3003,395,693,0.015,56.999
111,7012,149,229,0.005,65.066
112,7016,17,31,0.001,54.839
113,3086,7200,14505,0.322,49.638
114,3862,41,117,0.003,35.043
115,3864,2618,5235,0.116,50.01
116,7021,42,62,0.001,67.742
117,3134,12605,27741,0.617,45.438
118,3400,213,335,0.007,63.582
119,7015,78,121,0.003,64.463
120,1058,17001,31004,0.689,54.835
121,3181,3255,5870,0.13,55.451
122,3814,6408,10717,0.238,59.793
123,7019,70,97,0.002,72.165
124,3109,2168,3504,0.078,61.872
125,3117,13409,26823,0.596,49.991
126,7004,520,907,0.02,57.332
127,3020,69404,134702,2.994,51.524
128,3859,3879,8434,0.187,45.992
129,1035,489,1121,0.025,43.622
130,1001,8534,25822,0.574,33.049
131,1018,15351,35604,0.791,43.116
132,3599,2,9,0.0,22.222
133,2423,517,1068,0.024,48.408
134,3111,37158,71558,1.59,51.927
135,3748,8093,14094,0.313,57.422
136,6656,13137,26262,0.584,50.023
137,6660,875,2562,0.057,34.153
138,3040,7572,13732,0.305,55.141
139,1031,7867,15438,0.343,50.959
140,3082,3899,7589,0.169,51.377
141,3077,4096,7969,0.177,51.399
142,3600,3,7,0.0,42.857
143,4628,8028,14331,0.318,56.018
144,3504,3335,5515,0.123,60.471
145,6677,1506,2958,0.066,50.913
146,1082,30793,63349,1.408,48.609
147,2031,41089,90835,2.019,45.235
148,3222,2164,3629,0.081,59.631
149,3140,1889,3295,0.073,57.329
150,1027,603,1385,0.031,43.538
151,2422,2800,8111,0.18,34.521
152,3044,8695,20041,0.445,43.386
153,3068,8924,17065,0.379,52.294
154,3066,3228,6161,0.137,52.394
155,4638,183,324,0.007,56.481
156,7024,12,16,0.0,75.0
157,6631,5472,10467,0.233,52.279
158,1053,6637,15358,0.341,43.215
159,3026,13106,20721,0.461,63.25
160,3078,7640,14740,0.328,51.832
161,7007,188,297,0.007,63.3
162,3851,1859,6387,0.142,29.106
163,3190,18264,34557,0.768,52.852
164,6653,22677,43638,0.97,51.966
165,7020,44,62,0.001,70.968
166,3075,19870,36134,0.803,54.99
167,3085,6379,11458,0.255,55.673
168,3191,4760,11088,0.246,42.929
169,2139,128,243,0.005,52.675
170,7018,27,40,0.001,67.5
171,1036,31300,75615,1.68,41.394
172,6655,26998,52498,1.167,51.427
173,6695,8791,16524,0.367,53.201
174,3001,5258,9230,0.205,56.966
175,7006,153,238,0.005,64.286
176,3035,8814,18193,0.404,48.447
177,6672,27969,54835,1.219,51.006
178,3053,28657,49604,1.102,57.772
179,3916,15242,33491,0.744,45.511
180,3116,4542,8121,0.18,55.929
181,6616,3959,6509,0.145,60.823
182,6696,1395,2586,0.057,53.944
183,6630,28636,56086,1.246,51.057
184,3047,76108,152216,3.383,50.0
185,3074,6269,10868,0.242,57.683
186,8020,186,340,0.008,54.706
187,7022,20,28,0.001,71.429
188,1028,21434,48837,1.085,43.889
189,3071,12096,21161,0.47,57.162
190,3107,4087,6620,0.147,61.737
191,1029,13262,30330,0.674,43.726
192,1043,2512,5956,0.132,42.176
193,2055,51485,110510,2.456,46.589
194,2421,12742,22494,0.5,56.646
195,7003,21,38,0.001,55.263
196,3179,2624,4909,0.109,53.453
197,1004,2670,6439,0.143,41.466
198,3065,7067,12593,0.28,56.118
199,2065,12066,23224,0.516,51.955
200,6035,345,609,0.014,56.65
201,1006,602,1351,0.03,44.56
202,4644,1670,3175,0.071,52.598
203,1026,11050,24525,0.545,45.056
204,2138,57,117,0.003,48.718
205,3142,18815,34837,0.774,54.009
206,3157,45567,82945,1.843,54.936
207,6333,11853,19848,0.441,59.719
208,3508,11595,21386,0.475,54.218
209,3801,1442,2821,0.063,51.117
210,7017,108,154,0.003,70.13
211,1057,6554,13506,0.3,48.527
212,3033,10830,20392,0.453,53.109
213,3124,6298,11070,0.246,56.893
214,3100,6599,11620,0.258,56.79
215,3123,11283,25912,0.576,43.544
216,1039,332,776,0.017,42.784
217,3850,543,1347,0.03,40.312
218,1033,6249,13982,0.311,44.693
219,2015,1434,3204,0.071,44.757
